Source	Target
1	P2RY6
1	P2RY2
1	P2RY14
1	P2RY4
1	ADOK
1	SLC29A1
1	AK
1	CDA
1	RNASE1
1	ADORA1
1	ST6GAL1
1	MRAY
1	PYGM
1	PYRF
1	UL23
1	B4GALT1
1	URA3
1	NAN
1	TK1
1	FIMH
1	ADORA2A
1	RNASE2
1	ADK
1	OMPDC
1	UMPS
1	CHS1
1	TK2
1	PYGB
1	TOP1
1	TK
1	GGTA1
1	LGTC
1	ISPE
1	ADA
1	HSPA8
1	EIF4E
1	TYMS
1	KLRB1A
1	ADORA3
1	ENTPD2
1	IMA1
1	DNK
1	SLC28A2
1	ASAH1
1	HSPA5
1	THYA
1	TMK
1	OGT
1	GAPDH
1	SLC5A2
1	ITPR1
1	GBA
1	CD69
1	POLG
1	PDCD4
1	GPR17
1	LGALS9
1	TYMP
1	RAC1
1	ATIC
1	THYX
1	RAB7A
1	CA14
1	CDC42
1	ADORA2B
1	LGALS7
1	DUT
1	IL6
1	HBCAG
1	CA12
1	POL
1	CA9
1	PNP
1	GRK1
1	POLB
1	DNMT3B
1	CA13
1	CA1
1	P2RX1
1	CDA
1	ADA
1	PYGM
1	TK1
1	TYMS
1	ADORA1
1	TK2
1	P2RY6
1	OGT
1	HEXA
1	HEXB
1	OGA
1	CA2
1	CA12
1	CA9
1	P2RY4
1	P2RY2
1	FUCA1
1	ADORA2A
1	CA1
1	GGH
1	ADK
1	PYGL
1	PYGB
1	DPP4
1	PTPN1
1	PTPN2
1	POLA1
1	GBA
1	KDM4E
1	ADORA3
1	TYMP
1	CASP3
1	CASP6
1	CASP7
1	CASP8
1	CASP2
1	PTGES
1	FOLH1
1	MGAM
1	SI
1	LIG1
1	PIM1
1	CDC25A
1	CDC25B
1	CDK9
1	CSNK2A1
1	GAA
1	PIN1
1	ELANE
1	HSP90AA1
1	UMPS
1	GSK3B
1	DAO
1	ACE
1	MME
1	F2
1	P4HTM
1	AHCY
1	KDM5A
1	PTPRB
1	JMJD1C
1	P2RY14
1	CA14
1	KDM4C
1	PDCD4
1	NAALAD2
1	AKR1C3
1	AKR1C2
1	RNASE2
1	RNASE1
1	P4HA1
1	TYR
1	HDAC1
1	PNP
1	AKR1B1
1	CPA1
1	GPR17
1	KDM2A
1	CA7
1	CA13
1	KDM4A
1	AKR1C1
1	EIF4E
1	CA6
1	CA4
1	CA5A
1	EHMT1
1	EHMT2
1	B4GALT1
1	GSTP1
1	GSTM2
1	HSPA8
1	HSPA5
1	ESR2
1	CA3
1	AMD1
1	APEX1
1	TREH
1	CAD
2	NAN
2	YARS1
2	USP4
2	ALDH5A1
2	TH
2	KYNU
2	USP5
2	ABAT
2	ADRB3
2	MME
2	ADRB2
2	SLC13A5
2	BLAIMP-1
2	TAAR1
2	PAM
2	SLC1A6
2	ACLY
2	CA
2	SLC22A20
2	NAALAD2
2	LAP3
2	SOAT1
2	SLC22A6
2	NANA
2	IMPA1
2	ACE
2	CAN2
2	SLC15A2
2	CACNA2D1
2	SSSIM
2	CTBP2
2	LASB
2	CA3
2	SOAT2
2	KDM4E
2	ESR2
2	TYR
2	MDM4
2	CPN1
2	ERAP2
2	ALB
2	PTGS2
2	ALOX15
2	ESR1
2	NCE103
2	PCNA
2	BLM
2	CPA1
2	CPA3
2	CPB2
2	SLC13A5
2	HSD11B1
2	PTGFR
2	CYP19A1
2	ERCC5
2	FEN1
2	ESR1
2	ESR2
2	HMGCR
2	KDM2A
2	KDM6B
2	PHF8
2	KDM5C
2	PPARG
2	PPARA
2	PTGER1
2	PTGER2
2	CA13
2	HAO1
2	HTR1A
2	SHBG
2	JUN
2	DUSP3
2	CDC25A
2	HSD17B3
2	KIF11
2	SCN9A
2	PTGS1
2	MAP2K1
2	STS
2	SLC6A3
2	RNPEP
2	CA12
2	CA9
2	SLC6A4
2	ALOX5
2	PTGES
2	OGA
2	SLC5A2
2	FDPS
2	THRA
2	THRB
2	F2
2	PRSS1
2	PTGS2
